Designação,Nome,Logradouro,Bairro,Número,Complemento,CEP,IDEB 1º Segmento,IDEB 2º Segmento,Latitude,Longitude,Ginásio Carioca,Acessibilidade,Séries Atendidas,Turnos Atendidos,Ginásio Olímpico,Diretor,Telefone,INEP,Coordenador Pedagógico
0312603,RENASCER,Rua Engenheiro José de Castro,Del Castilho,S/Nº,,20760-040,,,"-22.8798772813583","-43.2786704837071",N,N,Creche,Integral,N,WALERIA DA PAIXAO,3277-4215,33152020,
0312801,HENRIQUE FORÉIS,Rua Manoel Maurício,Inhaúma,S/Nº,,20765-295,,,"-22.8627451351305","-43.2844049333851",N,N,Creche,Integral,N,PATRICIA MARQUES DE MELLO SILVA BANDEIRA,3888-7603,33163910,
0312802,PROFESSORA LUCIA MARIA BATISTA DE ALBUQUERQUE,Estrada do Itararé/esquinac/ Itararé,Bonsucesso,1031,em frente ao1615,21061-240,,,"-22.8665085900264","-43.2687737800719",N,N,Creche/Pré-Escola,Integral,N,AGLAIA PAIVA RIBEIRO CAMPOS DA COSTA,3315-3287,33163928,
0312803,PROFESSORA LUIZA HELENA MAIA,Travessa Guanajuato,Bonsucesso,s/n°,,21061-020,,,"-22.864781042772","-43.2749076019396",N,N,Creche/PIC/Pré-Escola,Integral,N,ANA LUISA FIGUEIREDO MARTINS OLIVEIRA,3315-1911,33163936,ADRIANA DE SOUZA ESPINDOLA
0312804,PROFESSORA TANIA MARTINS NOVO LENZ,Rua Italia D`Incau,Tomáz Coelho,s/n°,,21381-240,,,"-22.873094401336","-43.3077218742505",N,N,Creche/Pré-Escola,Integral,N,MARIA GORETE SILVA DE LIMA,2218-5497,33163944,MONICA CRISTINA GOMES DE SOUZA
0312805,TÂNIA CRISTINA MOREIRA,Rua Relicário,Bonsucesso - Complexo do Alemão,s/nº,,20766-340,,,"-22.8603376227579","-43.2852861517345",N,N,Creche/PIC,Integral,N,ROSA MARIA DE OLIVEIRA,2218-5486,33163952,PRISCILLA FOLLY PEREIRA
0312806,PROFESSORA ELIANE CHIARI DANTAS,Rua Yucatan,Bonsucesso,s/nº,,21061-570,,,"-22.8640456307698","-43.2750544834205",N,N,Creche/Pré-Escola,Integral,N,ELIZETE DA SILVA BEZERRA,3885-8640,33071209,JANICE DA CUNHA ALMEIDA LIMA
0312807,DEL CASTILHO,Av. Dom Hélder Câmara,Del Castilho,3732,,20771-003,,,"-22.9035393","-43.2095869",N,N,Pré-Escola,,N,,3278-3595/3278-3424,33072400,IVANILDA RIBEIRO DE LIMA SANTOS
0312809,PROFESSORA VALÉRIA PEREIRA DE SOUZA PINTO,,,,,,,,"","",N,N,Creche/Pré-Escola,1º Turno/2º Turno/Integral,N,CRISTIANE FERREIRA CUNHA AMANCIO,,,
0312891,HENRIQUE FORÉIS,,,,,,,,"","",N,N,,,N,,,,
0312900,JOSÉ APARECIDO DO PRADO SARTI,,,,,,,,"","",,,,,N,,,,
0312999,PROFESSORA LÚCIA MARIA BATISTA DE ALBUQUERQUE,,,,,,,,"","",,,,,N,,,,
0313001,DO 1º DSUP,Rua Dr. Garnier,Rocha,390,A,20975-000,5.2,,"-22.8966525291515","-43.2476316527198",N,N,1º Ano/2º Ano/3º Ano/4º Ano/4º Ano - NCM/5º Ano/Pré-Escola/Realfabetização 1,,N,JUCARA ERACLITO DE MORAIS,2241-6790/2218-3824,33073333,MARCIA CASTILHO DE OLIVEIRA
0313002,JOSE VERISSIMO,Rua Henrique Dias,Rocha,150,,20950-120,,4.8,"-22.9022841704227","-43.2495047849943",N,N,6º Ano/7º Ano/8º Ano/9º Ano/Aceleração 2A/Aceleração 3/PEJA I - Bloco 1/PEJA I - Bloco 2/PEJA II - Bloco 1/PEJA II - Bloco 2,,N,CARMEN MITTOSO GUERRA,2218-5492/3278-3753,33072906,MARIA ELIZABETE DE LIMA FERNANDES BORGES
0313003,PARETO,Rua Vinte e Quatro de Maio,Rocha,225,,20950-090,5.9,,"-22.9012237621588","-43.2503801272295",N,S,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/Classe Especial/Pré-Escola/Realfabetização 1,,N,MARISE RIOS DE OLIVEIRA,2218-5493/3278-4054,33073090,MARTA GOMES DA SILVA
0313004,PRESIDENTE KENNEDY,Rua Vitor Meireles,Riachuelo,145,,20950-230,5.7,,"-22.9026285480248","-43.2575194909251",N,N,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/Aceleração 1/Pré-Escola,,N,LEDA MARIA ACCIOLI VIANA,2218-5494/3278-4084,33073120,
0313005,CESAR AUGUSTO SOARES,Rua Cadete Paim Pamplona,Sampaio,50,,20970-140,5.9,,"-22.9006610146664","-43.260522726516",N,N,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/Creche/Pré-Escola,,N,MARILUCI DE SOUSA COSTA,2281-2096/3278-4004,33072647,THAYS POETA  HILDEBRANDT
0313006,RIO DE JANEIRO,Rua Peçanha da Silva,Jacaré,165,,20780-340,5.9,5.2,"-22.892839332536","-43.2645077129052",N,S,7º Ano/8º Ano/9º Ano,,N,FLAVIA NEHMAN REZEK MACHADO,2218-5496/3278-4152,33073201,LUCIENE ABRANTES DA SILVA
0313007,SARMIENTO,Rua Vinte Quatro de Maio,Engenho Novo,931,,20950-091,5.2,,"-22.9025450651759","-43.2675091003581",N,N,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/Classe Especial/Creche/PEJA I - Bloco 1/PEJA I - Bloco 2/PEJA II - Bloco 1/PEJA II - Bloco 2/Pré-Escola/Realfabetização 1,,N,OLIANA CHRISTINA ALVES MENEZES DOS SANTOS,2218-5497/3278-4274,33073244,HILER RANGEL DA SILVA
0313008,DOUTOR MARIO AUGUSTO TEIXEIRA DE FREITAS,Pça. Ibaé,Engenho Novo,S/Nº,,20715-100,4.9,,"-22.9116419614778","-43.2629117521751",N,S,1º Ano/2º Ano/3º Ano/4º Ano/4º Ano - NCM/5º Ano/Pré-Escola,,N,ELISA RAMOS FERNANDES,3278-4125/2218-5498,33072680,ROSAURA MARIA BRAGA FARIA D AVILA MODESTO
0313011,JOSE EDUARDO DE MACEDO SOARES,Rua Mário Piragibe,Lins de Vasconcelos,41,,20720-320,4.7,5,"-22.9090620025904","-43.2840934493061",N,S,1º Ano/2º Ano/3º Ano/4º Ano/4º Ano - NCM/5º Ano/6º Ano/7º Ano/7º Ano - NJM/8º Ano/9º Ano/Aceleração 1/Realfabetização 1/Realfabetização 2,,N,CARLOS ANTONIO DE MATOS,2593-8629/2592-9181,33072876,NELI SAMPAIO PASSOS HOMEM
0313012,SENADOR JOAO LYRA TAVARES,Rua Luiz Bezerra,Lins de Vasconcelos,2,,20710-160,,,"-22.9051736256361","-43.2728015629909",N,N,1º Ano/2º Ano/3º Ano/Creche/Pré-Escola,,N,SONIA REGINA DA SILVA COSTA,2218-5499/3278-5393,33073252,
0313013,MINISTRO GAMA FILHO,Rua Eng. Eufrásio Borges,Lins de Vasconcelos,14,,20725-120,5.1,4.6,"-22.9155629683512","-43.2851795845336",N,N,1º Ano/2º Ano/3º Ano/4º Ano/4º Ano - NCM/5º Ano/6º Ano/7º Ano/8º Ano/9º Ano/Pré-Escola/Realfabetização 1/Realfabetização 2,,N,LUCIANO GOMES OLIVEIRA,3273-1404/3273-2323,33073031,LILIAN BARCELLOS CASSANO
0313014,MEDEIROS E ALBUQUERQUE,Rua Bolívia,Engenho Novo,62,,20780-170,6.2,,"-22.8992394710433","-43.2686794377126",N,N,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/Pré-Escola,,N,HELENA CRISTINA MEDEIROS CARDOSO,3278-4174/2218-5501,33073023,CINTIA COSTA BARRETO CINELLI
0313015,REPUBLICA DO PERU,Rua Arquias Cordeiro,Méier,508,,20770-000,5.8,5.6,"-22.898405035246","-43.2800312948912",N,N,7º Ano/8º Ano/9º Ano,,N,TALMA ROMERO SUANE CARQUEJEIRO,2218-5502/3278-4126,33073180,CARLA MARIA MENDONCA LIMA
0313016,BENEVENUTA RIBEIRO,Rua Felipe Cavalcanti,Méier,10,,20780-130,,4.3,"-22.9028719911498","-43.2736889607159",N,S,6º Ano/7º Ano/7º Ano - NJM/8º Ano/9º Ano,,N,MAIRA OLIVEIRA DA SILVA,2218-5503/3278-4248,33072566,
0313017,CASA SÃO ROQUE,Rua Visconde de Tocantins,Méier,34,,20775-070,,,"","",,,,,N,,,33072620,
0313018,ISABEL MENDES,Rua Joaquim Méier,Méier,293,,20725-050,5.5,,"-22.9040389252515","-43.2789839848752",N,N,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/Creche/PEJA II - Bloco 1/PEJA II - Bloco 2/Pré-Escola,,N,DEBORA GARCIA TRIGUEIROS MACEDO,3273-2132/3273-2168,33072833,MARCIA OLIVEIRA DA SILVA FERREIRA
0313019,AFFONSO TAUNAY,Rua Vilela Tavares,Lins de Vasconcelos,211,,20725-220,,,"-22.9086857711348","-43.2860956042544",N,S,1º Ano/2º Ano/3º Ano/Pré-Escola,,N,SANDRA MONTES CLARO PEREIRA,2594-1154/3273-2243,33072515,ANA LUCIA SILVA SEIJO DOS SANTOS
0313020,BENTO RIBEIRO,Rua Cônego Tobias,Méier,112,,20725-010,,4.5,"-22.9035278985351","-43.279659085072",N,N,6º Ano/7º Ano/7º Ano - NJM/8º Ano/9º Ano/Aceleração 3/Classe Especial,,N,LUISETE MUSSI DA SILVA,3273-2744/3273-2534,33072574,VERONICA JOIA MOREIRA SILVA DE SOUZA
0313021,FRANCISCO JOBIM,Rua Adriano,Méier,310,,20735-060,5.2,4.4,"-22.9021262937193","-43.2902353125475",N,N,4º Ano/5º Ano/6º Ano/7º Ano/7º Ano - NJM/8º Ano/9º Ano/Aceleração 2A/Aceleração 3/Realfabetização 1,,N,ANA PATRICIA CAPUANO LEAL,3273-2530/3273-3710,33072744,PATRICIA ROLIM DE ALMEIDA VIEIRA DA CUNHA
0313022,PROFESSOR AUGUSTO PAULINO FILHO,Rua Cônego Tobias,Méier,116,,20725-010,5.4,,"-22.9036774022282","-43.2799557275713",N,N,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/6º Ano/Aceleração 1/Classe Especial/Pré-Escola,,N,ALEXANDRA BARBARA DE ALMEIDA,3273-3779/3273-3667,33073155,CLAUDIA CRISTINA TEIXEIRA DE OLIVEIRA
0313023,HONORIO GURGEL,Rua José dos Reis,Engenho de Dentro,707,,20770-050,5.8,,"-22.887849923904","-43.2929630417214",N,N,1º Ano/2º Ano/3º Ano/Pré-Escola/Realfabetização 1,,N,ROSANA GOMES FERREIRA,3273-3990/3273-3444,33072825,ELZA CARLA UNGER CRUZ
0313024,ACRE,Rua Santos Titara,Todos os Santos,50,,20735-240,6.6,4.8,"-22.8975553062316","-43.2847622865686",N,N,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/6º Ano/7º Ano/8º Ano/9º Ano,,N,ELIZABETE ALVES DE LIMA RODRIGUES,3273-3693/3273-4243,33072507,
0313025,PROFESSOR VISITACAO,Rua Ferreira de Andrade,Cachambi,209,Fundos,20780-200,,,"-22.8932599966678","-43.2726490774776",N,N,1º Ano/2º Ano/3º Ano/Creche/Pré-Escola,,N,ALZIRA RIBEIRO DE AMORIM LEITE,2228-0266/2218-5505,33073163,SHEILA REBELLO FERREIRA DA SILVA
0313026,JOSE LINS DO REGO,Rua Reginaldo Pardelha,Cachambi,S/Nº,,20785-170,,,"-22.8901666363456","-43.2657442918439",N,N,1º Ano/2º Ano/3º Ano/Pré-Escola,,N,MARCIA MARTINS CAETANO,2218-5506/3278-5143,33072884,JULIANA DIAS VICTORIA GOMES
0313027,JEAN MERMOZ,Rua São Gabriel,Cachambi,261,,20785-290,7.3,,"-22.8863280688864","-43.2730199322606",N,N,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/Pré-Escola,,N,SILVIA MARIA FERREIRA DELMONDES,2218-5507/3278-5942,33072841,DEA LUCIA BORGES LIMA PINHEIRO
0313029,THOMAS MANN,Rua Ferreira de Andrade,Cachambi,195,,20780-200,4.9,4.2,"-22.8934485515903","-43.2721673472726",N,S,4º Ano/5º Ano/6º Ano/7º Ano/7º Ano - NJM/8º Ano/9º Ano/PEJA I - Bloco 1/PEJA I - Bloco 2/PEJA II - Bloco 1/PEJA II - Bloco 2,,N,LYDIA CARNEIRO VILLELA,2218-5508/2218-4587,33073309,KATIA AMARAL SALLES
0313030,PASTOR MIRANDA PINTO,Pça. Avaí,Cachambi,S/Nº,,20775-150,,4.2,"-22.891787301291","-43.2760858979955",N,N,6º Ano/7º Ano/7º Ano - NJM/8º Ano/9º Ano/Aceleração 2A/Aceleração 3,,N,ANGELA MARIA FONSECA HERMES ZUQUIM DIAS,3273-5137,33073104,
0313031,NOSSA SENHORA DE POMPÉIA,Rua Cirne Maia,Cachambi,109,,20771-410,6.1,,"-22.8915459315997","-43.279551296457",N,N,1º Ano/2º Ano/3º Ano/4º Ano/4º Ano - NCM/5º Ano/Pré-Escola,,N,KATIA ELIZABETH DOS SANTOS QUIRINO,3273-5848/3315-2185,33073040,ROSANE PENA RIBEIRO
0313032,BOLIVAR,Rua José dos Reis,Engenho de Dentro,466,,20770-062,,5.9,"-22.8906603533425","-43.2939047112551",S,S,7º Ano/8º Ano/9º Ano,,N,JACIRA FONTES CERQUEIRA,3315-1497/3273-5094,33072582,JURANY MARIA MIGUEL
0313033,MARIA IZABEL BIVAR,Rua José dos Reis,Engenho de Dentro,1035,,20770-050,4.7,4.5,"-22.884343782799","-43.2910443792687",N,N,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/6º Ano/7º Ano/7º Ano - NJM/8º Ano/9º Ano/PEJA II - Bloco 1/PEJA II - Bloco 2/Realfabetização 1,,N,CRISTINA SALDANHA DINARTI FERNANDES,3273-5103/3273-5040,33072990,CLAUDIA ALVES PEREIRA
0313034,HELIO SMIDT,Rua José dos Reis,Engenho de Dentro,879,,20770-061,6.5,,"-22.8882562499922","-43.2933095972446",N,N,4º Ano/5º Ano/6º Ano,,N,ELVIRA CARDOSO DOS SANTOS,3273-5131/3273-5086,33072795,ANA CRISTINA VELOSO VIEIRA DA SILVA
0313035,EDGAR SUSSEKIND DE MENDONCA,Rua Ana Leonídia,Engenho de Dentro,S/Nº,,20730-390,6.1,,"-22.8989614682269","-43.3005605840776",N,N,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/Aceleração 1/Classe Especial/PEJA I - Bloco 1/PEJA I - Bloco 2/PEJA II - Bloco 1/PEJA II - Bloco 2/Pré-Escola/Realfabetização 1,,N,VANIA DE REZENDES FERREIRA,3273-5628/3273-5425,33072698,MARCIA REGINA CALDERARO TRAVASSOS TRUGANO
0313036,RIO GRANDE DO SUL,Rua Adolfo Bergamini,Engenho de Dentro,201,,20730-000,5.5,4.5,"-22.900363","-43.296036",N,S,4º Ano/5º Ano/6º Ano/7º Ano/7º Ano - NJM/8º Ano/9º Ano/Aceleração 2A/Aceleração 3/Classe Especial,,N,MARIA ISABEL BARBEITO BARREIRO,3272-9525/3273-5614/3273-5156,33073210,ANA CRISTINA PRIMA BORGES
0313037,AUGUSTO FREDERICO SCHMIDT,Rua  Mapurari,Engenho de Dentro,S/Nº,,20730-340,,,"-22.9094223133869","-43.2973138377367",N,N,1º Ano/2º Ano/3º Ano/Pré-Escola,,N,SANDRA MARIA SCHIRMER DE ALMEIDA,3273-5132/3273-6057,33072540,
0313038,LONDRES,Rua Monsenhor Jerônimo S/Nº,Engenho De Dentro,,,20730-120,,,"-22.901008","-43.295182",N,N,1º Ano/2º Ano/3º Ano,,N,LIANE HELENIAZ DE SOUZA,3273-7366,33072949,PATRICIA GOMES DA SILVA
0313040,BRIGADEIRO FARIA LIMA,Rua Violeta,Água Santa,S/Nº,,20745-180,5.6,4.4,"-22.905869","-43.310768",N,N,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/6º Ano/7º Ano/7º Ano - NJM/8º Ano/9º Ano/Pré-Escola/Realfabetização 1,,N,LARISSA GUIMARAES SANTOS,3274-2321/3273-9873,33072590,REGINA CARLA DE AZEVEDO
0313041,TOBIAS BARRETO,Rua Pompilio de Albuquerque,Encantado,62,,20745-120,6.6,,"-22.89738","-43.302655",N,S,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/Pré-Escola,,N,ANDRÉA HALLIER DE SOUZA MENDES,3274-2342/3274-2149,33073317,VALERIA CRISTIANE RIBEIRO DOS SANTOS DA SILVA
0313042,GOIAS,Rua Goiás,Encantado,248,,20756-120,,4.8,"-22.8943056718727","-43.301186207997",N,N,6º Ano/7º Ano/8º Ano/9º Ano/Classe Especial,,N,MARIA GRACINDA DE ANDRADE OLIVEIRA,3274-2254/3274-2285,33072779,
0313043,TAGORE,Pça. Frederico Durval,Abolição,S/Nº,,20756-030,6.2,,"-22.8871755055438","-43.3020932465502",N,N,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/Classe Especial/Pré-Escola,,N,ADRIANA FERNANDES DE CARVALHO,3274-5607/3274-5507,33073295,GILMARTA DIAS E SILVA
0313044,JOAO KOPKE,Rua Souza Cerqueira,Piedade,63,,20751-090,4.8,4.4,"-22.8836550884488","-43.3076574853543",N,S,1º Ano/2º Ano/3º Ano/4º Ano/4º Ano - NCM/5º Ano/6º Ano/7º Ano/8º Ano/9º Ano/Aceleração 2A/Aceleração 3/Classe Especial/Pré-Escola/Realfabetização 1,,N,FATIMA VEROL ROCHA,3274-5473/3274-9567,33072850,ALICE ROSA LOURENCO MENEZES
0313046,REPUBLICA DE EL SALVADOR,Rua Almeida Nogueira,Piedade,85,,20740-210,,4.3,"-22.8968135013903","-43.3133696825926",N,S,6º Ano/7º Ano/7º Ano - NJM/8º Ano/9º Ano/Aceleração 2A/Aceleração 3/PEJA II - Bloco 1/PEJA II - Bloco 2,,N,MARIA KATIA PONTES DE LIMA,2218-9876/2583-0747,33073171,VALERIA DE ANDRADE SIMO
0313047,FELIX PACHECO,Rua Assis Carneiro,Piedade,649,,20740-260,5.8,,"-22.8952516904395","-43.3121562178266",N,N,1º Ano/2º Ano/3º Ano/4º Ano/4º Ano - NCM/5º Ano/Pré-Escola,,N,VERA LUCIA GONCALVES COSTA,2583-0479/2583-4681,33072736,LAIS COUTINHO E SOUZA
0313048,SERVULO DE LIMA,Rua Elias da Silva,Piedade,27,,20740-210,6.9,,"-22.8892118340012","-43.3102764276548",N,N,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/6º Ano,,N,MARCIA COSTA MATTOS MARTINS,2583-5548/2583-7954,33073279,ANDREA FIGUEIREDO SILVA EGUES
0313049,VIRGILIO DE MELO FRANCO,Rua Eng. Clovis Daudt,Água Santa,310,,20740-440,5.3,4.7,"-22.9009341419188","-43.3113252259696",N,S,1º Ano/2º Ano/3º Ano/4º Ano/4º Ano - NCM/5º Ano/6º Ano/7º Ano/8º Ano/9º Ano/Pré-Escola/Realfabetização 1,,N,SIMONE D OLIVEIRA SEIDEL,2592-0387/2592-0189,33073325,
0313051,ALAGOAS,Av. Dom Hélder Câmara,Pilares,6742,,20751-090,6.5,,"-22.8808523903874","-43.293717566315",N,N,1º Ano/2º Ano/3º Ano/4º Ano/4º Ano - NCM/5º Ano/PEJA I - Bloco 1/PEJA I - Bloco 2/PEJA II - Bloco 1/PEJA II - Bloco 2/Pré-Escola,,N,ANA NERI LUGÃO RIBEIRO,2592-0720/2592-0864,33072523,
0313052,MARANHAO,Av. João Ribeiro,Pilares,389,,20750-090,,3.8,"-22.8729157390793","-43.2970900737309",N,N,6º Ano/7º Ano/8º Ano/9º Ano/Classe Especial,,N,MARCIO AMERICO DOS SANTOS,2592-0068/2592-1434,33072973,SOLANGE BRAGA DE OLIVEIRA
0313053,SUECIA,Rua Matheus de Andrade,Pilares,42,,20750-190,5.3,,"-22.8746244958619","-43.2988769536146",N,S,1º Ano/2º Ano/3º Ano/4º Ano/4º Ano - NCM/5º Ano/Pré-Escola,,N,LUCIANA ROCHA DA CRUZ,2592-2188/3274-8304,33073287,JANAINA CONCEICAO RODRIGUES
0313054,ENGENHEIRO ROBERTO MAGNO DE CARVALHO,Praça José Benevides,Engenho de Dentro,S/Nº,,20730-450,,5.2,"-22.8841943146818","-43.292608830391",N,N,6º Ano/7º Ano/8º Ano/9º Ano/PEJA II - Bloco 1/PEJA II - Bloco 2,,N,,2592-5529,33072701,ERICA MARCIA DE SOUZA MARTINS
0313055,ESC. ESP. DOUTOR ULISSES PERNAMBUCANO,Rua Dois de Fevereiro,Engenho de Dentro,S/Nº,,20730-450,,,"-22.9023299484633","-43.3021071074936",N,N,Classe Especial/Pré-Escola,1º Turno/2º Turno,N,TANIA CRISTINA ALVES FERREIRA,2592-5017/2593-0834,33072418,EDVONE HERCILIA LEAL FERNANDES
0313056,MINISTRO CARLOS ALBERTO DIREITO,Rua Bérgamo,Triagem,342,,20960-045,,,"-22.8944187445888","-43.2458274962575",N,N,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/Pré-Escola,1º Turno/2º Turno,N,PAULO JOSE DE ALMEIDA RIBEIRO,3223-2208,,IVONETE GOMES RIBEIRO
0313501,SENEGAL,Rua Vitor Meireles,Riachuelo,161,,20950-230,,,"-22.9028026244999","-43.2574985308443",N,S,1º Ano/2º Ano/3º Ano/Creche/Pré-Escola,,N,VERA MARQUES PALMEIRO,3278-5563/3278-5127,33073260,LEILA MANTUANO SARPA
0313502,CHANCELER WILLY BRANDT,Rua Álvaro Seixas,Jacaré,S/Nº,,20961-210,3.8,,"-22.8936924279874","-43.2634734502676",N,S,1º Ano/2º Ano/3º Ano/4º Ano/4º Ano - NCM/5º Ano/6º Ano/Creche/Pré-Escola,,N,SOLANGE  DA COSTA COELHO,3278-6148/3278-6694,33071322,MARIA APARECIDA PALHARES CABRAL
0313503,LINS DE VASCONCELOS,Rua Engenheiro Brotero,Lins de Vasconcelos,26,,20710-330,,,"-22.9105678111284","-43.2791342023904",N,S,1º Ano/2º Ano/3º Ano/Creche/Pré-Escola,,N,JACQUELINE VENTURA DE AZEVEDO,3278-5177,33071179,MARCIA MOREIRA DA SILVA
0313601,VILA DOS MINEIROS,Rua Manuel Correia,Piedade,199 casa 2,Vilados Mineiros,21386-400,,,"-22.8756234970029","-43.304905000212",N,N,Creche,Integral,N,MARIA APARECIDA CORREA MESQUITA DA SILVA,2593-2391,33095086,
0313602,ACONCHEGO,Rua Maria Luiza,Lins de Vasconcelos,70,,20725-100,,,"-22.91382562536","-43.2844415652418",N,N,Creche,Integral,N,MARIA APARECIDA RIBEIRO PIRES,2593-3972,33136939,
0313603,SYLVIA ORTHOF,Rua Solimões         Morro do Urubu,Piedade,S/Nº,,20751-250,,,"-22.8780117516151","-43.3057832902996",N,N,Creche,Integral,N,MARIA EVANI NASCIMENTO E SILVA,2593-3223,33136840,
0313604,NOSSO CANTINHO,Av. Menezes Cortes       0 Km,Engenho Novo,S/Nº,,20715-191,,,"-22.9162190058385","-43.2628905031644",N,N,Creche,Integral,N,REGINA CELIA DA SILVA FIGUEIREDO,2218-6247,33095310,
0313606,CANTINHO DO QUETO,Rua Salvador  - Morro do Queto,Sampaio,1,,20950-060,,,"-22.9036990936398","-43.2613035320432",N,N,Creche,Integral,N,MARCIA FERREIRA GARCIA MENDONCA,3278-5094,33095159,
0313607,ODETINHA VIDAL DE OLIVEIRA,Rua Prof. Antenor Nascentes 340 - Conj. Hab. Lins De Vascondelos,Lins de Vasconcelos,,,20710-150,,,"-22.9056556777818","-43.2725374152",N,N,Creche/PIC,Integral,N,IZABEL CHRISTINA DIAS DE MATTOS,3278-5564,33095124,
0313608,RACHEL LEITE DIAS,Rua Henriete de Holanda Amado         Comunidade Fernão Cardim,Engenho de Dentro,s/n.º,,20771-020,,,"-22.8848085726016","-43.2877507277359",N,N,Creche/PIC,Integral,N,SILENE DE FREITAS PEREIRA,2593-4624,33123152,
0313609,RECANTO DA CACHOEIRA,Rua Sincorá - Cachoeira Grande,Lins de Vasconcelos,s/nº,,20725-140,,,"-22.9187161770765","-43.2843795731466",N,N,Creche,Integral,N,VERA LUCIA GUEDES,2593-5358,33147302,
0313610,EMMANUEL,Rua Heráclito Graça,Lins de Vasconcelos,509,,20725-080,,,"-22.9137656429203","-43.2817344351699",N,N,Creche,Integral,N,AUREA MYRIAM COSTA DA SILVA,3822-8178,33147299,
0313611,JOSÉ RAMOS JANUÁRIO - ZÉ PRETINHO,Rua Luiz Jorge Salomão - Morro São João,Engenho Novo,347,,,,,"-22.9075229096751","-43.2663200477291",N,N,Creche,Integral,N,JANE DE FREITAS SAMPAIO,3278-5401,33147310,
0313612,MARCILIA CATARINA DA COSTA ORSELIO - TIA MANA,Rua dos Rios - Comunidade Dois de Maio,Largo do Jacaré,s/nº,,20972-450,,,"-22.8952799623233","-43.2614676940521",N,N,Creche,Integral,N,MARIA JOSE NUNES DE BRITO,2218-5488,33147329,
0313801,PROFESSOR JOSÉ LIBONATI FILHO,Rua Bérgamo,Triagem,342,,20960-045,,,"-22.8942357828347","-43.2459136592293",N,N,Creche,Integral,N,FERNANDA DA SILVA CARDOSO,3279-3786,,DENISE VALE PEREIRA DO NASCIMENTO
0313802,ANÍSIO TEIXEIRA,Rua Avenida João Ribeiro,Pilares,389,,20750-090,,,"-22.8733273867492","-43.2976396786016",N,N,Creche,Integral,N,CARLA MARIA DE LIMA FALBO,2593-4134/2593-4134,33095345,ELISABETE REGINA PEREIRA DA COSTA SANTOS
0313803,MARIA BRAZ,Rua Heráclito Graça,Lins de Vasconcelos,109,,20725-080,,,"-22.9035393","-43.2095869",N,N,Pré-Escola,,N,MARIZE BARBOSA DANTAS,3273-1077/3273-1119,33072981,MARIA CHRISTINA VICTAL DE CARVALHO
0313804,GEORGE BERNANOS,Pça. Avai,Cachambi,S/Nº,,20775-150,,,"-22.8924438","-43.2764565",N,N,Creche/Pré-Escola,,N,FABIULA COLLARES DA SILVA,2592-1558/3273-4838,33072752,
0313805,MAURÍCIO CARDOSO,Rua Adolfo Bergamini,Engenho De Dentro,231,,20730-000,,,"-22.9007297","-43.2961819",N,S,Classe Especial/Creche/PIC/Pré-Escola,Integral,N,,2592-9470/3273-8181,33073015,ELZIMAR RIBEIRO KNIPPEL DO CARMO
0313806,EDUCANDÁRIO DE SANTA CRUZ,Rua Purus,Piedade,S/Nº,,20751-295,,,"-22.882290","-43.306532",N,N,Creche/Pré-Escola,,N,MARGARIDA MARIA COUTINHO BAPTISTA,3274-0399/3315-3366,33072655,VALERIA MARCELINO FERREIRA
0313807,CARLOS GOMES,Rua José Dos Reis,Engenho de Dentro,1305,Fundos,20770-050,,,"-22.9035393","-43.2095869",N,N,Creche/Pré-Escola,,N,ELAINE DO VALLE,2592-0415/2592-0555,33072604,
0328501,VINICIUS DE MORAES,Av. Dom Hélder Câmara,Jacarezinho,1715,,20973-010,,,"-22.8848323358731","-43.253730839159",N,S,1º Ano/2º Ano/3º Ano/4º Ano/4º Ano - NCM/Pré-Escola,,N,VERA LUCIA RODRIGUES TEIXEIRA,2218-5509/3278-5271,33071357,ANA MARIA FERNANDES DE SOUZA
0328601,GERALDA DE JESUS ALEIXO,Av. Dom Hélder Câmara,Jacarezinho,57,,21050-450,,,"-22.8853267681087","-43.2537705429794",N,N,Creche,Integral,N,ELIZABETH CRISTINA GOMES FORTUNATO,2218-8174,33123144,
0328602,TIA ANDREZA,Rua José Maria Belo,Jacarezinho,S/N.°,,20970-040,,,"-22.8898847251342","-43.2587369307963",N,N,Creche,Integral,N,MARCIA CRISTINA SARDINHA FERREIRA MACEDO,3277-2757,33095299,
0328603,TIA RUTH,,,,,,,,"","",,,,,N,,,,
